"kode_penulis,nama,tahun_lahir,alamat,no_hp,email,rate"
"KDP001,Gita Savitri Devi,1980,Bandung,081276897690,gitasavitri@gmail.com,a"
"KDP002,Tere Liye,1976,Solo,081392847560,tere_ly@gmail.com,b"
"KDP003,Pidi Baiq,1960,Yogyakarta,0897648904,pidipidi@gmail.com,c"
"KDP004,Fiersa Basari,1970,Makassar,081483690011,fbs@gmail.com,d"
"KDP005,Pramoedy Ananta,1968,Kediri,08223973094,pramo@gmail.com,e"
"KDP006,Aca Faith,1977,Makassar,083146578009,acaca@gmail.com,f"
"KDP007,Rhenald Kasali,1968,Medan,081537284940,rhenald@gmail.com,g"
"KDP008,Kartika,1987,Palembang,089972538358,kartika@gmail.com,h"
"KDP009,Ujeyah,1973,Maluku,083276483672,ujeje@gmail.com,i"
"KDP010,Hariandra,1980,Bali,082162909090,hari90@gmail.com,j"
